candidate_id,fold_id,target_key,DrugMacro_AUC,DrugMacro_AUPRC,Global_AUC,n_rows
B1,0,gdsc_intersect13,0.5257291913186162,0.5841560423679237,0.551307937244317,
B1,0,tcga_only3,0.4401148482362592,0.6215486542176933,0.41898395721925136,
B1,0,dapl,0.5140884987728088,0.5641996520764235,0.5137895812053116,
B1,0,aacdr_gdsc_intersect,0.5628074075317576,0.6079958346344443,0.572908998895841,
B1,0,aacdr_tcga_only,0.47734375,0.6490068295385034,0.4345694799658994,
B1,1,gdsc_intersect13,0.4901107872840758,0.5497993554453154,0.5343063346126271,
B1,1,tcga_only3,0.4044043604133842,0.603069128188611,0.3036096256684492,
B1,1,dapl,0.4562464076566156,0.5310980786668856,0.47937946884576094,
B1,1,aacdr_gdsc_intersect,0.46616834263225154,0.539534116965042,0.5584859219727641,
B1,1,aacdr_tcga_only,0.3952008928571429,0.6237329193224008,0.43648763853367434,
B1,2,gdsc_intersect13,0.5311821080870774,0.5997688043284619,0.575044283244064,
B1,2,tcga_only3,0.5135937384706869,0.6856239446135067,0.45200534759358285,
B1,2,dapl,0.45510387942240493,0.5160864200381943,0.4630362614913177,
B1,2,aacdr_gdsc_intersect,0.5775108862304006,0.6322913358648405,0.6055967059256533,
B1,2,aacdr_tcga_only,0.44419642857142855,0.6401156211623636,0.35848252344416026,
B1,3,gdsc_intersect13,0.42973964913579654,0.5336149733510362,0.5327933237737759,
B1,3,tcga_only3,0.3881455872842255,0.5870180270901443,0.37540106951871655,
B1,3,dapl,0.4387260598569672,0.4991293067459989,0.47720888661899896,
B1,3,aacdr_gdsc_intersect,0.5035964005093476,0.5823767227603881,0.5750023003312477,
B1,3,aacdr_tcga_only,0.5613467261904761,0.7141215717117754,0.4166666666666667,
B1,4,gdsc_intersect13,0.5226080060520365,0.5916544950449126,0.548769558432795,
B1,4,tcga_only3,0.5258424808260739,0.6914823396526236,0.46002673796791443,
B1,4,dapl,0.4662432151969013,0.5223875189656715,0.48889172625127675,
B1,4,aacdr_gdsc_intersect,0.5237023324787399,0.5826392286494891,0.5711607471475892,
B1,4,aacdr_tcga_only,0.48668154761904764,0.6517908018647308,0.4341432225063938,
