candidate_id,architecture,feature,fold_id,result_dir
B1,biocda_predictive_e3,z_plus_context32,0,/workspace/DAPL/result/optimization_runs/round24_tcga_recovery/stage24b/B1/fold_0
B1,biocda_predictive_e3,z_plus_context32,1,/workspace/DAPL/result/optimization_runs/round24_tcga_recovery/stage24b/B1/fold_1
B1,biocda_predictive_e3,z_plus_context32,2,/workspace/DAPL/result/optimization_runs/round24_tcga_recovery/stage24b/B1/fold_2
B1,biocda_predictive_e3,z_plus_context32,3,/workspace/DAPL/result/optimization_runs/round24_tcga_recovery/stage24b/B1/fold_3
B1,biocda_predictive_e3,z_plus_context32,4,/workspace/DAPL/result/optimization_runs/round24_tcga_recovery/stage24b/B1/fold_4
B2,biocda_xa_fresh,z_plus_context32,0,/workspace/DAPL/result/optimization_runs/round24_tcga_recovery/stage24b/B2/fold_0
B2,biocda_xa_fresh,z_plus_context32,1,/workspace/DAPL/result/optimization_runs/round24_tcga_recovery/stage24b/B2/fold_1
B2,biocda_xa_fresh,z_plus_context32,2,/workspace/DAPL/result/optimization_runs/round24_tcga_recovery/stage24b/B2/fold_2
B2,biocda_xa_fresh,z_plus_context32,3,/workspace/DAPL/result/optimization_runs/round24_tcga_recovery/stage24b/B2/fold_3
B2,biocda_xa_fresh,z_plus_context32,4,/workspace/DAPL/result/optimization_runs/round24_tcga_recovery/stage24b/B2/fold_4
