feature_id,fold_id,target_key,DrugMacro_AUC,DrugMacro_AUPRC
F1,0,gdsc_intersect13,0.5106513407015657,0.557371716468576
F1,0,tcga_only3,0.490349015369524,0.6345823596140368
F1,0,dapl,0.529458112460948,0.5744105420660047
F1,0,aacdr_gdsc_intersect,0.5569004463901995,0.5853532520685913
F1,0,aacdr_tcga_only,0.4412574404761904,0.6579118721241283
F1,1,gdsc_intersect13,0.475712016361129,0.5536133860729158
F1,1,tcga_only3,0.4411218320160075,0.6230541949297134
F1,1,dapl,0.4641169929629288,0.5453898702996123
F1,1,aacdr_gdsc_intersect,0.527106111252806,0.585222917813426
F1,1,aacdr_tcga_only,0.4290922619047619,0.6419717162168844
F1,2,gdsc_intersect13,0.5073474624266588,0.5549503827138567
F1,2,tcga_only3,0.3977010820735185,0.5975103331900021
F1,2,dapl,0.4799699084784151,0.5280121511814502
F1,2,aacdr_gdsc_intersect,0.5322853857763067,0.5959303478790592
F1,2,aacdr_tcga_only,0.47544642857142855,0.6662714431901381
F1,3,gdsc_intersect13,0.5148944935965759,0.5690365736771518
F1,3,tcga_only3,0.38470849555755215,0.5921970015707166
F1,3,dapl,0.4703209909183445,0.5300607564598223
F1,3,aacdr_gdsc_intersect,0.5080151928523166,0.5605076232056128
F1,3,aacdr_tcga_only,0.4211681547619047,0.6545806954970856
F1,4,gdsc_intersect13,0.5145878839065715,0.561890914741332
F1,4,tcga_only3,0.434426692014879,0.608412102492418
F1,4,dapl,0.42542668138414835,0.49696553916269065
F1,4,aacdr_gdsc_intersect,0.48606775319663104,0.5649064961542909
F1,4,aacdr_tcga_only,0.5015252976190476,0.6840321682175075
