model,DRUG_NAME,AUC,AUPRC,n_samples
B0_r18_own_plus_summary,Sorafenib,0.20833333333333337,0.13247863247863248,14
B0_r18_own_plus_summary,Vinblastine,0.45238095238095233,0.5746082621082621,13
B0_r18_own_plus_summary,Gemcitabine,0.491304347826087,0.526070613518241,139
B0_r18_own_plus_summary,Methotrexate,0.510204081632653,0.6295093795093796,14
B0_r18_own_plus_summary,Cisplatin,0.5356978085351788,0.8060665952425206,221
P0_r23,Methotrexate,0.3469387755102041,0.4882696668410954,14
P0_r23,Docetaxel,0.4303030303030303,0.6005538947162986,85
P0_r23,Gemcitabine,0.44513457556935815,0.45624430940164706,139
P0_r23,Sorafenib,0.4583333333333333,0.18253968253968253,14
P0_r23,Temozolomide,0.4839506172839506,0.15002687604053433,91
X0_r23,Sorafenib,0.16666666666666669,0.12692307692307692,14
X0_r23,Vinorelbine,0.408695652173913,0.8240187392597601,28
X0_r23,Gemcitabine,0.4346790890269151,0.4442364735595866,139
X0_r23,Cisplatin,0.45530565167243375,0.73598258790483,221
X0_r23,Methotrexate,0.4693877551020408,0.6237571951857666,14
